OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
3,iterativefit,central,4,0.0,2.5,20.0,10000.0,-15.0,1.1,1.0
3,iterativefit,central,5,0.0,2.5,20.0,30.0,-15.0,0.0,1.216778997483629
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.0,0.0661035593467342,1.216778997483629
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.0661035593467342,0.2096063786178067,4.501295487580092*(x-0.06610355934673423)*(x-0.06610355934673423)*(x-0.06610355934673423)-1.9378457785197007*(x-0.06610355934673423)*(x-0.06610355934673423)+0.2780863325301235*(x-0.06610355934673423)+1.216778997483629
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.2096063786178067,0.279840375870298,681.3721174356109*(x-0.20960637861780676)*(x-0.20960637861780676)*(x-0.20960637861780676)-78.51530522380826*(x-0.20960637861780676)*(x-0.20960637861780676)+0.0*(x-0.20960637861780676)+1.2300810550565708
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.279840375870298,0.3603796985517114,37.93813990320557*(x-0.27984037587029803)*(x-0.27984037587029803)*(x-0.27984037587029803)+1.2874103989499512*(x-0.27984037587029803)*(x-0.27984037587029803)-0.9456409459951187*(x-0.27984037587029803)+1.0788418652296559
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3603796985517114,0.4492534928013143,-182.6269094332514*(x-0.3603796985517114)*(x-0.3603796985517114)*(x-0.3603796985517114)+24.346119560117472*(x-0.3603796985517114)*(x-0.3603796985517114)+0.0*(x-0.3603796985517114)+1.0308513089566664
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.4492534928013143,0.5509241066602972,119.5618421400107*(x-0.4492534928013143)*(x-0.4492534928013143)*(x-0.4492534928013143)-21.340008480575506*(x-0.4492534928013143)*(x-0.4492534928013143)+0.0*(x-0.4492534928013143)+1.0949510004255714
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.5509241066602972,0.6510439959789156,-4.504649415146409*(x-0.5509241066602972)*(x-0.5509241066602972)*(x-0.5509241066602972)+1.987315648175453*(x-0.5509241066602972)*(x-0.5509241066602972)-0.6316021838521436*(x-0.5509241066602972)+1.0000159310098224
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.6510439959789156,0.7513615689635452,10.015814230812703*(x-0.6510439959789156)*(x-0.6510439959789156)*(x-0.6510439959789156)-0.3226218182800374*(x-0.6510439959789156)*(x-0.6510439959789156)-0.3691262506850064*(x-0.6510439959789156)+0.9521799562716872
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.7513615689635452,0.8528656082593831,-10.40908197793778*(x-0.7513615689635452)*(x-0.7513615689635452)*(x-0.7513615689635452)+1.5241612647999911*(x-0.7513615689635452)*(x-0.7513615689635452)-0.1314696177901075*(x-0.7513615689635452)+0.9220149049116907
